ARG	ID	RESULTNAME	INFO	EINHEIT	LABEL	L/H	DATENTYP	NAME	MUL	DIV	ADD
STAT_0x5AD5_WERT	0x5AD5	STAT_KRAFTSTOFFTEMPERATUR_WERT	Kraftstofftemperatur	Grad C	tkrst	-	unsigned char	-	0,75	1	-48,0
STAT_0x5AD6_WERT	0x5AD6	STAT_SCHUBABSCHALTUNG_WERT	Schubabschaltung	-	B_sa	-	unsigned char	-	1	1	0
STAT_0x5AE2_WERT	0x5AE2	STAT_RESETART_DES_LETZTEN_RESETS_WERT	Resetart des letzten Resets	0-n	Reset_Env.xGrp	-	unsigned char	Reset_GrpID	1	1	0
STAT_0x5AE3_WERT	0x5AE3	STAT_HINTERGRUNDINFORMATION_ZUM_LETZTEN_GUELTIGEN_RESET_WERT	Hintergrundinformationen zum letzten gültigen Reset	0-n	Reset_Env.xId	-	unsigned integer	Reset_ID	1	1	0
STAT_0x5AE4_WERT	0x5AE4	STAT_ZUSAETZLICHE_RESETINFORMATIONEN_ZUR_RESETURSACHE_WERT	Zusätzliche Resetinformationen zur Resetursache	-	Reset_Env.xUserValue	-	unsigned long	-	1,0	1	0,0
STAT_0x5B06_WERT	0x5B06	STAT_ADDITIVE_KOMPONENTE_DER_VCV_ADAPTION_WERT	Additive component of second variant of VCV flow adaptation	A	CUR_VCV_BAS_AD_VAR_2_ADD	-	signed integer	-	0,0010000000474974513	1	0,0
STAT_0x5B07_WERT	0x5B07	STAT_MULTIPLIKATIVE_KOMPONENTE_DER_VCV_ADAPTION_WERT	Multiplicative component of second variant of VCV flow adaptation	-	FAC_CUR_VCV_BAS_AD_VAR_2	-	signed integer	-	6,103515625E-5	1	0,0
STAT_0x5B08_WERT	0x5B08	STAT_ADDAPTIERTE_MINIMALER_VOLUMENKRAFTSTOFFFLUSS_WERT	Adapted minimum volume fuel flow through the VCV	l/h	VFF_VCV_MIN	-	unsigned integer	-	0,0038910505827516317	1	0,0
STAT_0x5B09_WERT	0x5B09	STAT_ADDAPTIERTER_VCV_STROM_WERT	Adapted current of VCV in pressure control mode	A	CUR_VCV_MIN_AD	-	signed integer	-	0,0010000000474974513	1	0,0
STAT_0x5B0A_WERT	0x5B0A	STAT_AUSGANG_DES_VCV_STROMREGLERS_WERT	Output of VCV current controller	-	FAC_CUR_VCV_CTL	-	signed integer	-	6,103515625E-5	1	0,0
